Enrollment Number,Year,Stream,pass/fail,midsem1.TOC,midsem1.DBMS,midsem1.OS,midsem1.Software Engineering,midsem1.Neural Networks and Deep Learning,midsem1.ESP,midsem1.SDP,midsem2.TOC,midsem2.DBMS,midsem2.OS,midsem2.Software Engineering,midsem2.Neural Networks and Deep Learning,midsem2.ESP,midsem2.SDP,midsem1lab.DBMS,midsem1lab.OS,midsem1lab.Software Engineering,midsem2lab.DBMS,midsem2lab.OS,midsem2lab.Software Engineering,internal_marks.TOC,internal_marks.DBMS,internal_marks.OS,internal_marks.Software Engineering,internal_marks.Neural Networks and Deep Learning,internal_marks.ESP,internal_marks.SDP,lab_final.DBMS,lab_final.OS,lab_final.Software Engineering,final_theory.TOC,final_theory.DBMS,final_theory.OS,final_theory.Software Engineering,final_theory.Neural Networks and Deep Learning,final_theory.ESP,final_theory.SDP
1,3rd,CSE(AIML),Pass,22.0,13.0,12.0,26.0,4.0,8.0,6.0,2.0,38.0,17.0,18.0,21.0,19.0,17.0,14.0,22.0,21.0,19.0,16.0,2.0,29.0,31.0,5.0,44.0,47.0,31.0,33.0,36.0,54.0,94.0,13.0,68.0,26.0,95.0,0.0,73.0,28.0
2,3rd,CSE,Fail,28.0,3.0,27.0,8.0,26.0,9.0,19.0,2.0,22.0,19.0,,26.0,11.0,11.0,14.0,1.0,2.0,29.0,6.0,13.0,19.0,15.0,49.0,50.0,3.0,38.0,13.0,81.0,65.0,74.0,2.0,15.0,41.0,74.0,10.0,9.0,2.0
3,3rd,CSBS,Pass,21.0,17.0,0.0,25.0,25.0,20.0,24.0,19.0,19.0,25.0,20.0,19.0,24.0,19.0,6.0,17.0,30.0,21.0,18.0,17.0,34.0,5.0,48.0,20.0,31.0,41.0,30.0,57.0,48.0,83.0,19.0,61.0,7.0,28.0,87.0,81.0,62.0
4,3rd,CSEIOTCSBT,Pass,30.0,22.0,18.0,6.0,22.0,29.0,7.0,0.0,24.0,57.0,26.0,8.0,30.0,28.0,20.0,25.0,7.0,14.0,12.0,6.0,11.0,43.0,43.0,45.0,25.0,29.0,4.0,70.0,16.0,60.0,15.0,52.0,77.0,19.0,42.0,16.0,18.0
5,3rd,CSEIOT,Pass,21.0,24.0,2.0,26.0,8.0,22.0,0.0,17.0,29.0,5.0,1.0,21.0,20.0,11.0,16.0,16.0,9.0,23.0,1.0,26.0,8.0,6.0,25.0,42.0,24.0,38.0,44.0,88.0,41.0,63.0,52.0,40.0,6.0,56.0,56.0,16.0,90.0
6,3rd,CSE,Fail,10.0,14.0,24.0,18.0,21.0,0.0,13.0,11.0,18.0,15.0,3.0,19.0,5.0,27.0,17.0,12.0,16.0,13.0,9.0,15.0,21.0,48.0,23.0,22.0,18.0,1.0,49.0,4.0,19.0,26.0,22.0,12.0,47.0,74.0,53.0,74.0,94.0
7,3rd,CSEIOTCSBT,Pass,1.0,10.0,11.0,30.0,15.0,14.0,17.0,28.0,29.0,11.0,19.0,10.0,18.0,4.0,16.0,16.0,12.0,4.0,12.0,0.0,33.0,2.0,32.0,30.0,40.0,44.0,25.0,37.0,47.0,11.0,96.0,17.0,48.0,11.0,69.0,60.0,60.0
8,3rd,CSE(AIML),Pass,2.0,21.0,8.0,4.0,4.0,3.0,18.0,12.0,19.0,13.0,21.0,15.0,22.0,12.0,23.0,14.0,17.0,5.0,15.0,18.0,38.0,1.0,29.0,35.0,39.0,50.0,3.0,36.0,64.0,25.0,48.0,19.0,98.0,92.0,30.0,17.0,78.0
9,3rd,CSE(AIML),Pass,24.0,22.0,17.0,22.0,1.0,12.0,9.0,12.0,25.0,17.0,21.0,8.0,8.0,8.0,28.0,4.0,28.0,10.0,28.0,27.0,19.0,19.0,2.0,44.0,26.0,35.0,41.0,91.0,47.0,6.0,45.0,83.0,76.0,74.0,22.0,89.0,41.0
10,3rd,CSBS,Pass,12.0,2.0,11.0,2.0,10.0,16.0,12.0,6.0,25.0,0.0,4.0,23.0,4.0,5.0,26.0,3.0,15.0,26.0,18.0,15.0,50.0,12.0,19.0,32.0,15.0,13.0,3.0,53.0,2.0,90.0,34.0,15.0,96.0,55.0,77.0,93.0,45.0
